table_index,overlay_id,ram_address,ram_end,ram_size,bss_size,static_init_start,static_init_end,file_id,file_path,file_offset,file_size,file_sha256,compressed_size_field,flags,compression_flag
0,0,35545856,35767296,216448,4992,35745272,35745276,0,__unmapped__/file_00000,786432,129736,403b0b98dd0428c9cb6bb1c6c381245483a6f8673f1ec16231ef756747a91087,129736,1,True
1,1,35545856,35939712,148064,245792,35693072,35693076,1,__unmapped__/file_00001,916480,110496,836133d739fe0a1da379b583133327c18320c7c2e1ec5805023506083967b843,110496,1,True
2,2,35939712,35997728,58016,0,35997564,35997568,2,__unmapped__/file_00002,1027072,42968,5a68790ae3e6c8c9d1e02c615e77ecdc51048207323a00a0b6bb8460521fe874,42968,1,True
3,3,35997728,36020736,22976,32,36020556,36020560,3,__unmapped__/file_00003,1070080,16752,2452eddf0c79661725f36076c5c1a0a83e9927b531a780bfd5d2fa5c1a76ca66,16752,1,True
4,4,35997728,36013440,15712,0,36013412,36013416,4,__unmapped__/file_00004,1086976,11836,8c40e405e8afd060ad075a1c426203e5c820d49d84f5763cd65c549bd04bb773,11836,1,True
5,5,35767296,35781760,14464,0,35781752,35781756,5,__unmapped__/file_00005,1099264,10008,e01c71909236607f3eed5af65846e2578b6a32a0b9c17bcc579bc67a986a8c27,10008,1,True
6,6,35767296,35768352,1056,0,35768344,35768348,6,__unmapped__/file_00006,1109504,780,2e6d2404e63aeca470001a17d9dab1cf90fb186df53d468c6eb4fb667752dfe6,780,1,True
7,7,35768352,35881664,113312,0,35881532,35881536,7,__unmapped__/file_00007,1110528,78560,5b84c2be8c3c7d70559df73c865473d5409cf8f2357f401bbd14a707886bc6fa,78560,1,True
8,8,35768352,35809600,41248,0,35809592,35809596,8,__unmapped__/file_00008,1189376,29364,46965fcaf1900d8a9d3cc1bf8e9cc5dfa65c28675be555b7251af6754bcc4c1f,29364,1,True
9,9,35768352,35768384,32,0,35768352,35768356,9,__unmapped__/file_00009,1219072,20,07d1d94d7d3269a1155925f01090a020e40387e8e8998fc3b4a1a3c633ca4d46,20,1,True
